Link,Title,Rating,Price
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/81SigpJN1KL._AC_UL320_.jpg,iPhone 15 Pro (1 TB) - Blue Titanium,4.0 out of 5 stars,"1,80,990"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/81CgtwSII3L._AC_UL320_.jpg,iPhone 15 Pro (512 GB) - Natural Titanium,4.0 out of 5 stars,"1,61,990"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/61B0+qQriPL._AC_UL320_.jpg,iPhone 14 Plus (512 GB) - Midnight,4.5 out of 5 stars,"96,999"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/713d2it9mhL._AC_UL320_.jpg,iPhone 15 Plus (512 GB) - Yellow,4.5 out of 5 stars,"1,19,900"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/61YSNhAb00L._AC_UL320_.jpg,iPhone 14 Plus (512 GB) - Purple,4.5 out of 5 stars,"96,999"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/81+GIkwqLIL._AC_UL320_.jpg,iPhone 15 Pro (1 TB) - Black Titanium,4.0 out of 5 stars,"1,80,990"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71ZOtNdaZCL._AC_UL320_.jpg,iPhone 12 (256GB) - Blue,4.5 out of 5 stars,"63,999"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71njlzLHRlL._AC_UL320_.jpg,New Apple iPhone 12 (256GB) - (Product) RED with Apple 20W USB-C Power Adapter,4.7 out of 5 stars,"71,599"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/81+GIkwqLIL._AC_UL320_.jpg,iPhone 15 Pro (512 GB) - Black Titanium,4.0 out of 5 stars,"1,61,990"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/718dFuVYSVS._AC_UL320_.jpg,"New iPhone 12 (256GB) - Black Clear Case with Magsafe (for iPhone 12, 12 Pro) 20W USB-C Power Adapter",4.5 out of 5 stars,"70,598"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/716fAVud8PL._AC_UL320_.jpg,iPhone 14 Plus (512 GB) - (Product) RED,4.5 out of 5 stars,"96,999"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71ZP6U9sWTL._AC_UL320_.jpg,iPhone 15 Plus (512 GB) - Green,4.5 out of 5 stars,"1,19,900"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/81qlME2wWmL._AC_UL320_.jpg,iPhone 15 Pro (512 GB) - White Titanium,4.0 out of 5 stars,"1,61,990"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71fVoqRC0wL._AC_UL320_.jpg,iPhone 12 (256GB) - Black,4.5 out of 5 stars,"63,999"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/81qlME2wWmL._AC_UL320_.jpg,iPhone 15 Pro (1 TB) - White Titanium,4.0 out of 5 stars,"1,80,990"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71emcsxsRPL._AC_UL320_.jpg,iPhone 14 Plus (512 GB) - Yellow,4.5 out of 5 stars,"1,09,900"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71bErtQPC3L._AC_UL320_.jpg,iPhone 15 Plus (512 GB) - Pink,4.5 out of 5 stars,"1,19,900"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71E5zB1qbIL._AC_UL320_.jpg,iPhone 12 (256GB) - (Product) RED,4.5 out of 5 stars,"69,900"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71wepFapAzS._AC_UL320_.jpg,"New iPhone 12 (256GB) - (Product) RED Clear Case with Magsafe (for iPhone 12, 12 Pro) 20W USB-C Power Adapter",4.5 out of 5 stars,"76,499"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71iGmrfmctL._AC_UL320_.jpg,New Apple iPhone 12 (256GB) - Green with Apple 20W USB-C Power Adapter,4.7 out of 5 stars,"71,599"
./Amazon.in_ 3 Sellers - Apple _ Smartphones _ Smartphones & Basic Mobiles_ Electronics_files/71VD1fnCDYL._AC_UL320_.jpg,New Apple iPhone 12 (256GB) - Black with Apple 20W USB-C Power Adapter,4.7 out of 5 stars,"65,698"
