Link,Title,Rating,Price
./Amazon1_files/81+GIkwqLIL._AC_UL320_.jpg,iPhone 15 Pro (128 GB) - Black Titanium,4.0 out of 5 stars,"1,30,990"
./Amazon1_files/618Bb+QzCmL._AC_UL320_.jpg,iPhone 14 (512 GB) - Starlight,4.5 out of 5 stars,"86,999"
./Amazon1_files/71nvkHnPpZL._AC_UL320_.jpg,iPhone 15 (256 GB) - Green,4.5 out of 5 stars,"84,900"
./Amazon1_files/71ZP6U9sWTL._AC_UL320_.jpg,iPhone 15 Plus (256 GB) - Green,4.5 out of 5 stars,"92,990"
./Amazon1_files/81SigpJN1KL._AC_UL320_.jpg,iPhone 15 Pro (256 GB) - Blue Titanium,4.0 out of 5 stars,"1,40,990"
./Amazon1_files/81+GIkwqLIL._AC_UL320_.jpg,iPhone 15 Pro (256 GB) - Black Titanium,4.0 out of 5 stars,"1,40,990"
./Amazon1_files/81CgtwSII3L._AC_UL320_.jpg,iPhone 15 Pro (1 TB) - Natural Titanium,4.0 out of 5 stars,"1,80,990"
./Amazon1_files/81qlME2wWmL._AC_UL320_.jpg,iPhone 15 Pro (128 GB) - White Titanium,4.0 out of 5 stars,"1,30,990"
./Amazon1_files/716fAVud8PL._AC_UL320_.jpg,iPhone 14 Plus (256 GB) - (Product) RED,4.5 out of 5 stars,"84,900"
./Amazon1_files/81qlME2wWmL._AC_UL320_.jpg,iPhone 15 Pro (256 GB) - White Titanium,4.0 out of 5 stars,"1,40,990"
./Amazon1_files/61cwywLZR-L._AC_UL320_.jpg,iPhone 14 (512 GB) - Midnight,4.5 out of 5 stars,"87,999"
./Amazon1_files/71emcsxsRPL._AC_UL320_.jpg,iPhone 14 Plus (256 GB) - Yellow,4.5 out of 5 stars,"89,900"
./Amazon1_files/71REplb5oZL._AC_UL320_.jpg,iPhone 15 (256 GB) - Yellow,4.5 out of 5 stars,"84,900"
./Amazon1_files/71hIfcIPyxS._AC_UL320_.jpg,iPhone 12 (256GB) - Purple,4.5 out of 5 stars,"63,999"
./Amazon1_files/71Q63UKJYZS._AC_UL320_.jpg,"New iPhone 12 (256GB) - Blue Clear Case with Magsafe (for iPhone 12, 12 Pro) 20W USB-C Power Adapter",4.5 out of 5 stars,"70,598"
./Amazon1_files/713d2it9mhL._AC_UL320_.jpg,iPhone 15 Plus (256 GB) - Yellow,4.5 out of 5 stars,"92,990"
./Amazon1_files/71cQWYVtcBL._AC_UL320_.jpg,iPhone 12 (256GB) - Green,4.5 out of 5 stars,"69,900"
./Amazon1_files/61BGE6iu4AL._AC_UL320_.jpg,iPhone 14 Plus (512 GB) - Blue,4.5 out of 5 stars,"96,999"
./Amazon1_files/81Os1SDWpcL._AC_UL320_.jpg,iPhone 15 Pro Max (1 TB) - Black Titanium,4.5 out of 5 stars,"1,99,900"
./Amazon1_files/611mRs-imxL._AC_UL320_.jpg,iPhone 14 (512 GB) - (Product) RED,4.5 out of 5 stars,"87,999"
./Amazon1_files/81SigpJN1KL._AC_UL320_.jpg,iPhone 15 Pro (512 GB) - Blue Titanium,4.0 out of 5 stars,"1,61,990"
./Amazon1_files/71228iynBmS._AC_UL320_.jpg,"New iPhone 12 (256GB) - Green Clear Case with Magsafe (for iPhone 12, 12 Pro) 20W USB-C Power Adapter",4.5 out of 5 stars,"76,499"
./Amazon1_files/61b7Ew7kjYL._AC_UL320_.jpg,iPhone 14 Plus (512 GB) - Starlight,4.5 out of 5 stars,"96,999"
./Amazon1_files/71-O4N4hIWL._AC_UL320_.jpg,New iPhone 12 (256GB) - Blue 20W USB-C Power Adapter,4.7 out of 5 stars,"65,698"
